subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
HGNC:11551,RO:0002434,HGNC:9701,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:11209,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:6117,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:3797,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:11744,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:3239,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:11207,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:6119,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:9005,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11551,RO:0002434,HGNC:10471,https://www.ncbi.nlm.nih.gov/pubmed/22959076,"This edge comes from the NEPH2012 dataset in ""tftargets"" source.",2012-09-14,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
